Date,Ghost_Size,Eligible_Size,Live_Size,Opt_Exp_Return,Opt_Exp_Variance,Effective_Gross_Exposure,Mean_Innovation_Z,Mean_CUSUM_S_t,Vol_Ratio,Mean_LinUCB_Gate,rebalanced
2026-01-30,10,2,2,0.40594475490237425,0.0051801730171882,0.40594475490237425,2.2312288741958626,0.0,0.3614805313213921,1.9750000000000003,1
2026-02-04,8,1,1,0.25,0.001155688542425028,0.25,2.9276140707477083,0.0,0.5168030158293916,2.05,1
2026-02-05,10,3,3,0.4884323438494951,0.0015145178215446135,0.4884323438494951,2.3530552063098313,0.0,0.7106452120446815,2.0149999999999997,1
2026-02-06,8,2,2,0.37544524136446017,0.002331529640313847,0.37544524136446017,2.065775774090893,0.0,0.9814504551939466,1.9625,1
2026-02-10,11,1,1,0.25,0.005496678691067425,0.25,2.2627448873495686,0.0,1.497356983765985,1.8409090909090908,1
2026-02-12,8,2,2,0.35921418239080644,0.003852889755696254,0.35921418239080644,2.3777857207578394,0.0,1.4124570558060152,1.6875,1
2026-02-13,8,2,2,0.28943222287341197,0.0010870250199003211,0.28943222287341197,2.7177979323573833,0.0,1.5842586895875495,1.59375,1
2026-02-17,7,0,0,0.0,0.0,1.0,0.0,0.0,1.2059779826658565,1.8214285714285714,1
2026-02-20,17,1,1,0.25,0.0033124216931667847,0.25,2.959271343410907,0.0,1.327836248291966,1.9411764705882353,1
2026-02-24,10,0,0,0.0,0.0,1.0,0.0,0.0,0.9996857135496878,2.175,1
2026-02-25,11,1,1,0.25,0.001642399637267942,0.25,1.5521423838390545,0.0,1.172921719132195,1.9772727272727273,1
2026-03-02,9,0,0,0.0,0.0,1.0,0.0,0.0,1.2294039983878264,2.0,1
2026-03-20,10,1,1,0.25,0.0026059587556518833,0.25,3.3184159138175673,0.0,1.0770432620644297,2.175,1
2026-03-24,10,2,2,0.3901000980289898,0.0038048422003730347,0.3901000980289898,2.5632261458780636,0.0,1.4214823478024814,1.95,1
2026-03-25,10,3,3,0.49154683937480814,0.005305214026720429,0.49154683937480814,2.477296948830844,0.0,1.3500740146017867,2.025,1
2026-03-26,9,2,2,0.2893063095883206,0.003272685712854066,0.2893063095883206,2.0567374663374824,0.0,1.1891608634858193,2.0833333333333335,1
2026-03-30,8,1,1,0.25,0.014967225462343756,0.25,2.3054385547364045,0.0,1.2616467454180467,2.0625,1
2026-03-31,8,0,0,0.0,0.0,1.0,0.0,0.0,0.9359911567742201,2.15625,1
2026-04-16,13,1,1,0.25,0.003986857863058132,0.25,3.2996408500219707,0.0,0.8147668548072086,2.1923076923076925,1
2026-04-17,13,1,1,0.25,0.0013688663669045205,0.25,2.3360292445134156,0.0,0.8110069744838925,2.1923076923076925,1
2026-04-22,12,0,0,0.0,0.0,1.0,0.0,0.0,0.7591938109743981,2.1875,1
2026-04-23,11,1,1,0.25,0.008149637846923454,0.25,2.9067215421016908,0.0,0.7863253770328453,2.1818181818181817,1
2026-04-27,14,2,2,0.47803537349111846,0.009683182515043545,0.47803537349111846,2.713324514980495,0.0,0.38416172629303663,2.1642857142857146,1
2026-04-28,15,1,1,0.25,0.002926833412413503,0.25,2.8706645942862528,0.0,0.2784915056249486,2.1966666666666668,1
2026-04-29,14,0,0,0.0,0.0,1.0,0.0,0.0,0.18609210958892025,2.107142857142857,1
2026-04-30,13,1,1,0.25,0.009762764129335806,0.25,2.1810752122948496,0.0,0.14947296516268338,2.0653846153846156,1
2026-05-01,15,7,7,1.3545248977098303,0.021925568517371048,1.3545248977098303,2.8213431264525313,0.0,0.8701452085094606,2.0733333333333333,1
2026-05-04,16,3,3,0.5279784141163486,0.007962465361570577,0.5279784141163486,1.8736988661299234,0.0,0.8761554573279263,2.0375,1
2026-05-05,15,3,3,0.5717164490663946,0.009893686828684188,0.5717164490663946,1.935828836762855,0.0,0.9396630750808865,2.05,1
2026-05-06,16,0,0,0.0,0.0,1.0,0.0,0.0,0.9529048670489434,2.015625,1
2026-05-15,14,1,1,0.25,0.004524902324174065,0.25,1.8565732726284296,0.0,0.4330356943486085,1.9357142857142862,1
2026-05-20,16,1,1,0.25,0.0013856219227322488,0.25,1.6450881453082822,0.0,0.8846916831722588,2.084375,1
2026-05-21,15,1,1,0.25,0.0009092083400698568,0.25,1.6430278497482576,0.0,1.06167392729954,1.95,1
2026-05-22,15,4,4,0.8330661596768786,0.010459012122387812,0.8330661596768786,2.3790971145296758,0.0,1.0567795136556288,1.95,1
2026-05-27,15,3,3,0.6251406996963959,0.004648140633519501,0.6251406996963959,2.36718368544258,0.0,0.7732829127734056,2.0733333333333333,1
2026-05-28,14,2,2,0.40932619711116514,0.0030815614246419575,0.40932619711116514,1.805946270879839,0.0,0.5432423265411698,1.9142857142857146,1
