,Ghost_Size,Eligible_Size,Live_Size,Opt_Exp_Return,Opt_Exp_Variance,Effective_Gross_Exposure,Mean_Innovation_Z,Mean_CUSUM_S_t,Vol_Ratio,Mean_LinUCB_Gate,rebalanced,Live_Realized_Return,Ghost_Realized_Return,Eligible_Realized_Return
2025-10-03,11.0,1.0,1.0,0.25,0.005353688688087587,0.25,2.408358117667763,0.0,0.9870996821245044,2.1818181818181817,0,-0.0013480970207662146,-0.000832874602124889,0.03865982185484618
2025-10-06,11.0,1.0,1.0,0.25,0.005353688688087587,0.25,2.408358117667763,0.0,0.9870996821245044,2.1818181818181817,0,-0.0006789905586642719,-0.016580891118435637,0.16187103112968537
2025-10-07,11.0,1.0,1.0,0.25,0.005353688688087587,0.25,2.408358117667763,0.0,0.9870996821245044,2.1818181818181817,0,-0.004879334828275406,-0.010216901561079572,0.0661119172941278
2025-10-08,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.48633629306862197,2.25,1,0.0029830613440773313,0.0036700261263695744,0.020066617930974306
2025-10-09,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.48633629306862197,2.25,0,-0.0025984936739290587,-0.01655986923247199,0.01649519014177292
2025-10-10,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.48633629306862197,2.25,0,0.0,0.04383353637633669,0.08472502779720181
2025-10-13,9.0,1.0,1.0,0.25,0.005245192657926799,0.25,3.03886577500172,0.0,1.446022560670779,1.911111111111111,1,0.0,-0.028647142819265503,0.030377276296040367
2025-10-14,6.0,2.0,2.0,0.40459385029359807,0.011845884348892971,0.40459385029359807,2.40633728288602,0.0,1.8413262156749897,1.8083333333333333,1,-7.322381500063369e-05,-0.022715422142806196,-0.043833953845498375
2025-10-15,7.0,1.0,1.0,0.25,0.005413909054412396,0.25,3.03886577500172,0.0,1.9826090979922755,1.657142857142857,1,0.0015734523553201374,-0.011557754941647458,-0.01376330719261365
2025-10-16,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9763659211584266,1.6375,1,0.005014035002423256,0.016236475390225102,0.1341320357386493
2025-10-17,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9763659211584266,1.6375,0,-0.004000866149881821,-0.01454064186908155,-0.057594663142416125
2025-10-20,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9763659211584266,1.6375,0,0.0,-0.008267620841985623,0.05059449098894442
2025-10-21,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9763659211584266,1.6375,0,0.0,0.05843124614400752,-0.020693912342490628
2025-10-22,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9763659211584266,1.6375,0,0.0,-0.009760909822070563,-0.031617792722598126
2025-10-23,10.0,1.0,1.0,0.25,0.005734760000914072,0.25,2.3931206267718985,0.0,1.133647966750714,1.795,1,0.0,0.024462714429283494,0.1812165982363907
2025-10-24,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8134643968040642,2.025,1,-7.249820397359219e-05,-0.04039421271794019,0.15835054382937686
2025-10-27,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8134643968040642,2.025,0,0.0042042425296069386,0.018789733664444697,0.05208883719446322
2025-10-28,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8134643968040642,2.025,0,0.0,0.002935380731764692,-0.006683185071110209
2025-10-29,13.0,1.0,1.0,0.25,0.0016008476878679944,0.25,1.6032271932975484,0.0,0.9618666380122634,1.9,1,0.0,-0.0026295320183002957,-0.0680755450098054
2025-10-30,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1354815082779273,1.8708333333333333,1,-7.781434924514219e-05,0.047513937741166856,-0.13812707337961272
2025-10-31,13.0,1.0,1.0,0.25,0.0016054252089441063,0.25,1.5785934457897,0.0,1.0177648415982736,1.9,1,-0.004452754459222996,0.009304161224898744,-0.026545184689196977
2025-11-03,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0055920949439248,2.0625,1,-7.085132966078156e-05,-0.019547847716111955,-0.04834224389667707
2025-11-04,14.0,1.0,1.0,0.25,0.0017050861533512937,0.25,1.6595135444786222,0.0,0.7638813592974021,2.1142857142857143,1,0.0023208409934847296,0.04161390009102606,-0.02054422154537794
2025-11-05,14.0,1.0,1.0,0.25,0.0017050861533512937,0.25,1.6595135444786222,0.0,0.7638813592974021,2.1142857142857143,0,-7.754739619059148e-05,-0.017443962691898074,0.020690217862533666
2025-11-06,14.0,2.0,2.0,0.31959585546438396,0.002376246914282154,0.31959585546438396,2.28347271447688,0.0,0.7775425617346257,2.060714285714286,1,-0.0017131772447950278,0.030322564855855827,-0.20109251432711417
2025-11-07,14.0,3.0,3.0,0.6142540437960304,0.016984769134870882,0.6142540437960304,2.9155635149337376,0.0,0.8464022280857281,2.085714285714286,1,0.0007099697059669285,-0.010650370950201937,-0.17179777229489213
